MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
35727012	106	C04z1	C04z100	Myxoedema coma	21263006	35727012	NA	32
68268011	4318838	C04-3	C04..13	Hypothyroidism	40930008	68268011	NA	32
178809013	3158784	C04	C04..00	Acquired hypothyroidism	111566002	178809013	NA	32
251589012	102647	1432	1432.00	H/O: hypothyroidism	161443002	251589012	NA	32
292408011	636506	C04y	C04y.00	Other acquired hypothyroidism	111566002	178809013	NA	32
297588017	23	F3814	F381400	Myasthenic syndrome due to hypothyroidism	193212008	297588017	NA	32
355964016	13148	C046	C046.00	Autoimmune myxoedema	237519003	355964016	NA	32
398784019	560364	C04z	C04z.00	Hypothyroidism NOS	40930008	68268011	NA	32
493538010	138873	C04-1	C04..11	Myxoedema	43153006	493538010	NA	32
2474336017	3079	8CR5	8CR5.00	Hypothyroidism clinical management plan	736287007	3517030018	NA	32
2533420013	17517	9Oj2	9Oj2.00	Hypothyroidism monitoring third letter	414442008	2533420013	NA	37
2533422017	299034	9Oj0	9Oj0.00	Hypothyroidism monitoring first letter	414439002	2533422017	NA	37
2533534011	51201	9Oj1	9Oj1.00	Hypothyroidism monitoring second letter	414441001	2533534011	NA	37
225971000000116	30262	9Oj	9Oj..00	Hypothyroidism monitoring administration	713741000000106	1564981000000116	NA	37
637341000000118	58296	66BB	66BB.00	Hypothyroidism annual review	341861000000109	637341000000118	NA	1
881391000006112	80562	C04y-99	C04y.99	Acquired hypothyroidism NOS	654491000000108	881391000006112	NA	32
939981000006114	10744	EMISNQHY1	NA	Hypothyroidism medication review	939981000006105	939981000006114	NA	32
940101000006114	4379	EMISNQHY4	NA	Hypothyroidism monitoring invite 1	940101000006105	940101000006114	NA	37
940111000006112	495	EMISNQHY5	NA	Hypothyroidism monitoring invite 2	940111000006108	940111000006112	NA	37
940121000006116	204	EMISNQHY6	NA	Hypothyroidism monitoring invite 3	940121000006100	940121000006116	NA	37
958231000006113	936	EMISNQDN3	NA	DNA - Did not attend hypothyroidism clinic	958231000006109	958231000006113	NA	37
2838081000006110	1	^ESCTMY283808	NA	Myxedema coma	21263006	35726015	NA	32
3159171000006117	110	^ESCTHY315917	NA	Hypothyroid	40930008	492839019	NA	32
3771061000006115	17	^ESCTPR377106	NA	Pretibial myxoedema	78146007	503768011	NA	31
4197341000006114	5	^ESCTPR419734	NA	Primary hypothyroidism	111566002	363808017	NA	32
4539531000006117	1	^ESCTHI453953	NA	History of hypothyroidism	161443002	2986407018	NA	32
4768951000006118	1	^ESCTMY476895	NA	Myxoedema encephalopathy	192816007	297016016	NA	32
5108351000006116	4622	^ESCTAU510835	NA	Autoimmune hypothyroidism	237519003	355966019	NA	32
5108391000006110	275	^ESCTHY510839	NA	Hypothyroidism due to Hashimoto's thyroiditis	237520009	355967011	NA	31
5108401000006112	4	^ESCTHY510840	NA	Hypothyroidism due to Hashimoto thyroiditis	237520009	2840385015	NA	31
5108411000006110	3	^ESCTHY510841	NA	Hypothyroidism due to TSH receptor blocking antibody	237521008	355968018	NA	31
5108441000006114	101	^ESCTCO510844	NA	Compensated hypothyroidism	237523006	355970010	NA	31
5254181000006112	8	^ESCTHY525418	NA	Hypothyroid facies	248205002	370525011	NA	31
6858301000006118	5789	^ESCTHY685830	NA	Hypothyroidism monitoring invitation	414440000	2533425015	NA	31
8032121000006118	1	^ESCTHY803212	NA	Hypothyroidism due to thyroiditis	102871000119101	3013457017	NA	31
8065681000006113	627	^ESCTHY806568	NA	Hypothyroidism review	205101000000104	314521000000111	NA	31
